team_id,primary_score_db,third_octave_rebound_peak_1000_8000_db,parameter_count,peak_macs_in_one_sample_event
T001,16.016703719300114,0.2830413366028795,1287172,1500000
T055,12.70036440836549,0.4095178497266067,81739,1704480
T077,22.007978735170735,1.1371433249595506,34480,170909696
T061,10.192809958268306,0.7276229069410135,698185,9895245
T029,8.515922910559302,0.7564646297766612,113923,666353
T078,18.147596923153213,4.576636383829019,151025,207872085
T091,8.420707618977683,0.5522531648266329,41552,2484720
T030,8.300013896244428,2.198442111984109,18563,17838
T092,6.907977924440687,1.6372927020468147,9612,9270
T036,6.584789479989837,0.9596050747677709,32693,14151
T083,4.970893574377983,0.2650136315890903,512,512
T086,6.422159327260887,0.0839725337419925,1322894,1300000
T011,9.594886886223073,3.499405024619213,51325,4000000
T065,9.451926112123406,3.5370326012941873,50981,3154720
T054,5.978848083087811,0.03185522393017514,13024,11136
T087,5.288155183007988,0.1910889472509761,28910,28272
T101,4.888616529194249,0.07637409382625392,84562,81337
T096,3.8881103519699916,1.957831429857535,5294,4848
T044,2.3795822254681833,0.03836824466307793,45524,44723
T020,5.8246936475352244,0.03160796645945594,202510,200832
T070,5.717550009836945,0.04177372327407506,293152,288480
T052,5.264627396059815,0.12373049955459635,160293,436296
T074,3.427266167133268,1.0957488673898041,17185,16688
T093,3.249824235640952,2.1249017629674656,72808,69168
T095,3.983365162230932,0.398808697968104,36303,43024864
T075,3.8871295161518726,0.05743036904966697,5047174,5030243
T089,4.994925306091389,3.309955993065142,19504,18615
T094,3.5971989182748367,17.130853146857053,49889,48544
